,,微博内容,,发布来源,,,,,,
,,周杰伦问蔡依林难不难过，蔡依林说有一点，台下一直大喊抱一下！抱一下！那时候的周董还很瘦。?周杰伦要的是公主，而蔡依林偏偏是女王，再也回不去的青春。圈教主的秒... ?,,前置双摄vivo X9sPlus,,,,,,
,,"五月天《I Will Carry You》MV正式上线，阿信创作词曲，MV是曾与林俊杰、周杰伦合作的台湾创意工作室LUCKYSPARKS制作，这一次，五月天依然用充满年轻气息的词曲与激烈的摇滚曲风来颂扬团队的力量，急速而剧烈的鼓如同如火如荼的战斗节奏，阿信在录音棚中又挑战男声高Key唱着“这修罗场，并没有真相，只 ?
			...展开全文c",,微博 weibo.com,,,,,,
,,#恋爱多根筋##偶遇周杰伦昆凌##大S汪小菲一见钟情内幕#今天的微博有点甜呀?? ?,,iPhone客户端,,,,,,
,,时隔16年，周杰伦的《开不了口》重新编曲，催泪大片感动来袭，你总说我不在意，其实我都放心里！#搞笑视频# 爆笑搞事菌... ?,,秒拍网页版,,,,,,
,,下雨天一起聽周杰倫吧?#轨迹# |重庆·辻利T... ?,,iPhone X,,,,,,
,,周杰伦年度最感人巨作，整个青春都在这里 #搞笑视频# 爆笑搞事菌... ?,,秒拍网页版,,,,,,
,,#一个flag …以后我的婚礼bgm也要选周杰伦的 晴天/七里香 ?,,家电下乡的iPhone 7 Plus,,,,,,
,,#gai# sydney world square不要小看这块屏 在悉尼已经很大啦 张学友和周杰伦也都是用的这块嗨翻澳洲 让更多人知道你@GAI周延 GAI超级无... ?,,iPhone X,,,,,,
,,#睡前聊一聊# 时隔16年，周杰伦的《开不了口》重新编曲，催泪大片感动来袭。来说说你现在最想念谁？ @ ta 全球热门搜... ?,,微博 weibo.com,,,,,,
,,珍贵照片丨2001年2月周杰伦新加坡机场照片当时无人接机，几乎没有人关注他，行李都是自己拿，但是他就是这样从默默无闻一步步走向华语流行天王的！致敬！ ?,,三星 GALAXY Note8,,,,,,
,,#成都身边事# 这个五月没法听到周杰伦，有幸现场听到杨宗纬翻唱这首喜欢很久的「追梦人」也是挺不错的！很有力量！成都娱乐家... ???,,OnePlus 3,,,,,,
,,【实训十】网媒1602 向东 209这是一个网瘾少年改过自新、重新做人的成长历程。@张恒玺 @八个白雪公主 @丶茶山刘 @大家好我是周杰伦_ @我会去青岛的 @喔有时光机呀 昵称不可用... ?,,秒拍网页版,,,,,,
,,#周杰伦# 出营口道地铁口一抬头，跟周杰伦先生四目相对，太美妙了，第一次在天津看到这么大的周杰伦广告牌，今天我要pick周杰伦哥哥！ ?,,iPhone客户端,,,,,,
,,偶遇周杰伦昆凌  私人行程 望勿扰  哈哈 视频开始时周杰伦英语说的很666，其实都是老师一字一句教出来的…好可爱，哈哈哈哈哈哈哈 最后期待下#周杰伦不爱我就拉倒# 地表最强叶... ?,,华为手机,,,,,,
,,蔡依林走向周杰伦的那短短的几秒钟，感觉用了我的整个青春…… 笑死了二师... ?,,微博 weibo.com,,,,,,
,,【这是一个充满回忆的视频！】林俊杰，蔡依林，罗志祥，S.H.E，王力宏，张韶涵，潘玮柏，王心凌，孙燕姿，梁静茹，F4，萧亚轩，飞儿乐队，李宇春，周杰伦，周笔畅，10分钟17首歌，卧槽，太魔性了，每一首都代表着回不去的青春，视频有点长，建议先马再听！ 最热视频精... ?,,微博 weibo.com,,,,,,
,,偶遇周杰伦昆凌他俩一直都这样和和美美的啊，这个酷酷的girl了解一下还有，新浪太关注杰伦啦。分点注意力在别的地方吧。杰伦哥哥只想安安心心吃饭逛街顺带提醒一下杰伦哥哥，今天周六啦 ?,,无与伦比的Android,,,,,,
,,偶遇周杰伦昆凌#综艺与娱乐# 网友纽约偶遇周杰伦昆凌，穿情侣鞋牵手，画面超级恩爱 #娱乐情报##娱乐集中营# ??? 热爱大自然... ?,,热爱大自然Android,,,,,,
,,"#偶遇周杰伦昆凌#私人行程，不要过多关注五月一号成都演唱会的时候，中途突然下起雨，很多人包括我，都想站起来跑门口去买雨衣，当时大家都说门口有卖的，进来的时候看到了。在我站起来那一刻，看到周杰伦在台上淋雨唱歌，中间还用手抹了一下脸上的雨水，那一刻突然泪目，大概大家都看到，很多人 ?
			...展开全文c",,iPhone客户端,,,,,,
,,《给我一首歌的时间》 Jolin一开口把我的心都融化了。他们从青涩的少年少女，到如今的天王天后，谢谢你们出现在我的青春里——周杰伦，蔡依林！ 音乐追击令... ?,,360安全浏览器,,,,,,
,,#创造101# （周杰伦）《爷爷泡的茶》   C位：强东玥  组员：丑丑、罗天舒、焦曼婷、吕小雨、张馨月、韩丹（最开始由强东玥的苏州小调引入加了不少分。正式舞台里第一次出现中国风元素，鼓励一下。）【纯享版】... ?,,微博 weibo.com,,,,,,
,,一家具有南昌特色的餐厅，店老板肯定是杰迷#周杰伦2018地表最强演唱会# ?,,iPhone客户端,,,,,,
,,【在台北偶遇周杰伦昆凌】近日，有网友在台北某餐厅吃饭偶遇#周杰伦##昆凌# 夫妇。据悉，昆凌喜欢吃这家店的松饼小汉堡，于是杰伦就陪老婆来吃啦！ ?,,iPhone 7,,,,,,
,,#创造101# #焦曼婷# 《创造101》强东玥队表演周杰伦的歌《爷爷泡的茶》，开场苏州小调很加分！pick一下焦曼婷小姐姐腿受伤还坚持参加排练并且最终上场表演，还获得了胜利！ 金未来_昂... ?,,微话题,,,,,,
,,#偶遇周杰伦# 近日网友台北偶遇周杰伦，图中周董与太太昆凌吃饭逛街，真是满满的幸福 ?,,iPhone 7,,,,,,
,,快乐大本营，陈柏霖林允带来周杰伦作品《星晴》，唱出了不一样的味道，泥萌欢喜吗视频童姥的... ?,,iPhone 6s Plus,,,,,,
,,#宁波路边社# 【偶遇周杰伦昆凌】近日，有网友在台北某餐厅偶遇#周杰伦# 、#昆凌# 。照片中，周董穿着黑色外套戴着黑色帽子，大嫂则穿着粉色长款外套戴着粉色帽子，两人正在餐厅就餐。超甜蜜哇~  ?,,iPhone X,,,,,,
,,偶遇周杰伦昆凌 近日有网友在台北某餐厅偶遇周杰伦、昆凌 。周董穿着黑色外套戴着黑色帽子，大嫂则穿着粉色长款外套戴着粉色帽子，两人正在餐厅就餐。 ?,,iPhone 6s Plus,,,,,,
,,告白气球 练了很久很久的前奏……@GEM鄧紫棋 这是我被翻牌背景音乐也是我特别喜欢的一首歌 每次婚庆表演都会唱的歌……@GEM邓紫棋吧官博 @GEM_Queen_of_Hearts世界巡演 @地表最强周杰伦世界巡回演唱会 #邓紫棋queen_of_hearts世界巡回演唱会##邓紫棋##邓紫棋# 我被邓紫棋... ?,,iPhone客户端,,,,,,
,,上次是周杰伦婚礼，这次是周杰伦昆凌婚纱照拍摄，美美的，满满的幸福，无处不在！ 昔日点播的... ?,,传递快乐的iPhone客户端,,,,,,
,,日本音乐人翻唱周杰伦经典曲目《东风破》，以日本传统乐器伴奏，部分地方直接采用中文原词，听起来别有韵味樱花少女的... ?,,微博 weibo.com,,,,,,
,,"#连音社##连传洋# 2018.05.04 宽体站周杰伦【黑色毛衣】就是这首黑色毛衣，让我一下追了我伦十二年之久…还将持续下去…“一件黑色毛衣两个人的回忆”
			...展开全文c",,连音社迷妹iPhone X,,,,,,
,,#偶遇周杰伦昆凌#近日，有网友在台北某餐厅偶遇周杰伦 、昆凌。照片中，周董穿着黑色外套戴着黑色帽子，大嫂则穿着粉色长款外套，两人正在餐厅就餐。超甜蜜哇 ?,,HUAWEI Mate 9,,,,,,
,,周杰伦学坏了，想用脚绊倒助理大妮……????#周杰伦长沙演唱会# 周杰伦歌迷... ?,,iPhone客户端,,,,,,
,,有一种友（ji）情（qing）叫周杰伦与刘畊宏#2018年周杰伦演唱会# ?,,,,,,,,
,,蔡依林走向周杰伦的那短短的几秒钟，感觉用了我的整个青春。幽默大爆炸... ?,,皮皮时光机,,,,,,
,,"#王者荣耀# 这个狄仁杰勇气可嘉，太冒险了，很有爱，这样的队友给我来一打————————————————————————————————————————————————————————————
			...展开全文c",,360安全浏览器,,,,,,
,,《给我一首歌的时间》 Jolin一开口把我的心都融化了。他们从青涩的少年少女，到如今的天王天后，谢谢你们出现在我的青春里——周杰伦，蔡依林！ 音乐追击令... ?,,微博 weibo.com,,,,,,
,,周杰伦《半岛铁盒》网页链接 @QQ音乐  为什么这样子 网页链接 ?,,QQ音乐,,,,,,
,,周杰伦在刘德华面前表演魔术，连他自己都觉得烂！ 萌妹子的那... ?,,秒拍网页版,,,,,,
,,在厦门这么久才知道周杰伦在厦门开了一家餐厅～不过真的有创意，每道菜名都是他的歌名，味道也好～赞赞赞吃完体验了一下卡丁车～适合心情不好的时候来玩哈哈哈哈哈哈哈 |厦门·厦港... ?,,iPhone X,,,,,,
,,"中国最屌女司机霸气！————————————————————————————————————————————————————————————
			...展开全文c",,360安全浏览器,,,,,,
,,有没有人转让5月26号周杰伦常州演唱会的门票要票面1280的 ?,,iPhone客户端,,,,,,
,,"不得不说这个怼的是真的舒服！————————————————————————————————————————————————————————————
			...展开全文c",,360安全浏览器,,,,,,
,,刘畊宏婚礼上的周杰伦，演唱《不能说秘密》改编成“以前觉得他是一个gay”#周杰伦长沙演唱会# 音乐班叶湘... ?,,,,,,,,
,,"恶搞小伙伴！这是友尽的节奏吗？————————————————————————————————————————————————————————————
			...展开全文c",,360安全浏览器,,,,,,
,,"就这智商还挡路？？？哈哈哈哈，干得漂亮！————————————————————————————————————————————————————————————
			...展开全文c",,360安全浏览器,,,,,,
,,"雨中的你真的好美————————————————————————————————————————————————————————————
			...展开全文c",,360安全浏览器,,,,,,
,,蔡依林走向周杰伦的那短短十秒钟，感觉用了我的整个青春。 头号患者的... ?,,UC浏览器电脑版,,,,,,
,,#周杰伦新歌不爱我就拉倒# 周杰倫珍貴視頻周杰倫香港演唱會Live版《償還》，杰倫哥哥的聲音好溫柔，迷上了，迷上了～#每天都要听周杰伦#  周杰伦资讯... ?,,自拍大明星?美图M6s,,,,,,
,,"宝贝说得没毛病啊，哈哈哈哈哈这表情太丰富了！————————————————————————————————————————————————————————————
			...展开全文c",,360安全浏览器,,,,,,
,,莫文蔚的阴天孙燕姿的雨天周杰伦的晴天都不如和我聊天 ? |广汉·北外... ?,,HUAWEI nova 3e,,,,,,
,,昆凌没怀孕在家太孤独，出去当街玩自拍，成都的周杰伦却吃醋了(同步自@新浪看点)|昆凌没怀孕... ?,,手机新浪网,,,,,,
,,"昆凌今日在社交网站上晒出一张照片，照片中昆凌扎马尾辫，头戴粉色帽，身穿一件粉色短袖T恤，眼前刚组装好一个可爱的粉色弹跳垫，看来是给儿子小小周用来玩的，而昆凌身边的助理也身穿粉丝T恤，两人简直是“情侣装”，有些辣眼周杰伦随后写道：“我也觉得这衣服不知哪里怪怪的”带了一个若有所思 ?
			...展开全文c",,微博 weibo.com,,,,,,
,,又到周五啦！湖南卫视《歌手》已经结束，但音乐不会散场。万和&#连音社#会定期推出大家喜爱的歌曲，本次#连音社# 将周杰伦的《安静》重新演绎，快让你的耳朵尝尝鲜吧~ 万和电气的... ?,,微博 weibo.com,,,,,,
,,"转赞后 @疯姿秀美妆 获取！ ————————————————————————————————————————————————————————————
			...展开全文c",,360安全浏览器,,,,,,
,,#娱乐急先锋# 昨天，有网友在台北偶遇#周杰伦# 、#昆凌#在某餐厅甜蜜用餐，周杰伦一身黑帽黑衣，昆凌则是粉红系搭配。从这位网友向朋友分享的语气就看得出很开心啦，我怎么就没这种运气？？？你们有木有偶遇自己爱豆的经历呢？？？ ?,,微博 weibo.com,,,,,,
,,周杰伦：有吉他我就唱，没想到真有歌迷带了吉他。太狠了哈哈哈哈哈  #2018年周杰伦演唱会# 周杰伦音乐... ?,,,,,,,,
,,"有人说，你卖的牌子没听过，不是大品牌。我要告诉你的是：听过的牌子，无非是来自广告，并不代表你真的了解它们的产品。你相信李敏镐会骑雅迪电动车吗？你相信周杰伦喝2块钱的优酸乳吗你相信张柏芝骑大运摩托车吗？飘柔广告好，你真的见过梳子往下掉？康师傅泡面广告好，里面牛肉真那么大吗？阿 ?
			...展开全文c",,前后2000万 OPPO R11,,,,,,
,,【在台北偶遇周杰伦昆凌】近日，有网友在台北某餐厅吃饭偶遇#周杰伦# #昆凌# 夫妇。据悉，昆凌喜欢吃这家店的松饼小汉堡，于是杰伦就陪老婆来吃啦！ ?,,微博 weibo.com,,,,,,
,,周杰伦在刘德华面前变魔术......连自己都嫌烂 全球奇葩事... ?,,微博 weibo.com,,,,,,
,,偶遇周杰伦昆凌 近日有网友在台北某餐厅偶遇周杰伦、昆凌 。周董穿着黑色外套戴着黑色帽子，大嫂则穿着粉色长款外套戴着粉色帽子，两人正在餐厅就餐。 ?,,,,,,,,
,,#会火娱乐快报# 【偶遇周杰伦昆凌】近日，有网友在台北某餐厅偶遇#周杰伦# 、#昆凌# 。照片中，周董穿着黑色外套戴着黑色帽子，大嫂则穿着粉色长款外套戴着粉色帽子，两人正在餐厅就餐。超甜蜜哇~  ?,,微博 weibo.com,,,,,,
,,常州网直播中！南拳妈妈来了！高颜值，好音乐，就等你来！网页链接 @陈羽緁-南拳媽媽 @曹景豪-南拳媽媽 @洪言翔-南拳媽媽 @南拳媽媽彈頭 @南拳妈妈内地后援会 @周杰伦粉丝团官方微博 ?,,微博 weibo.com,,,,,,
,,yezi55#运动就是坚持#09854【厉害了:物理老师用铜线、磁铁弹奏《菊花台》】江西师大的物理老师仅用铜线、磁铁演奏周杰伦歌曲《菊花台》！网友笑称，真是物理界最会弹琴的，弹琴界物理最好的！厉害了word物理老师！吐槽社的秒... ?,,微博 weibo.com,,,,,,
,,周杰伦高雄站，Bbox版《青花瓷》 周杰伦微速... ?,,,,,,,,
,,励志短片《自行我路》，周杰伦，陈冠希，古天乐，吴建豪主演。“不断挑战自己，大胆创新自己的生活，生命会变得更有意义。” 电影馆长的... ?,,微博 weibo.com,,,,,,
,,#周杰伦#成都演唱会上，这位妹子和杰伦唠嗑不停，成都妹子就是霸气~哈哈！好逗！最后送上一首晴天大合唱！via: 首席音乐官... ?,,小米6 拍人更美,,,,,,
,,"发布了头条文章：《让粉丝走3公里土路, 观众席没座椅, 广电将严查#周杰伦#演唱会》 |让粉丝走3... ?",,微博 weibo.com,,,,,,
,,这是周杰伦唯一想要拿回来自己唱的一首歌，太好听了！ 飞笑的秒拍... ?,,秒拍网页版,,,,,,
,,当初就是因为这首歌而喜欢上周杰伦的举手！????当年这首歌是很多人的入坑曲啊！#2018年周杰伦演唱会#???,,iPhone客户端,,,,,,
,,周杰伦在北大百年讲堂的演讲：从方文山到吴宗宪到刘畊宏，全程没有鸡汤，接地气，很真实，始于颜值，陷于才华，忠于人品，人生只要坚持你的初衷梦想，每个人都可以不平凡，满满正能量  ?,,大屏幕,,,,,,
,,#燕赵美景大家拍# 【耳朵的福利！高校网红合唱团出新歌，这次登台唱周董】5月4日，走红网络的河北师范大学合唱团再次登台献唱，这次带来不少新歌，有周杰伦的《菊花台》、张韶涵的《隐形的翅膀》等。一手video... ?,,,,,,,,
,,周杰伦《世界末日》现场版，一架钢琴，一段叙述，一个人演绎。说尽心中无限事音乐少女st... ?,,微博 weibo.com,,,,,,
,,周杰伦为别人创作的60首歌曲，每一首都那么好听，好多我竟然都不知道出自杰伦之手啊 #秒拍# BOOZ音乐的... ?,,iPhone 6s Plus,,,,,,
,,我关注了周杰伦超话，小伙伴们快来加入周杰伦超话一起聊聊吧~戳这里→ |周杰伦 ?,,微话题,,,,,,
,,闫妮、邹元清母女档主演的《我是你妈》发片尾曲MV，母女俩翻唱周杰伦《听妈妈的话》。 每日电影头... ?,,微博 weibo.com,,,,,,
,,"周杰伦 巡演场次5.11-12 长沙5.19 金华 5.26-27 常州6.9-10 郑州6.15-18 上海6.23-24 福州
			...展开全文c",,iPhone X,,,,,,
,,我免费围观了 @褚明宇 的回答，问题价值 2698.00 元，快来一起免费围观~ 微博问答 ?,,,,,,,,
,,周杰伦在美国街头自弹自唱，吸引了好多路人围观，不愧为鬼才～ 好司机i的... ?,,,,,,,,
,,#周杰伦# 周杰伦现场版《蒲公英的约定》和你有过一起长大的约定 只不过后来的我们 没有了我们 贰贰贰勇的... ?,,秒拍网页版,,,,,,
,,#2018年周杰伦演唱会# 2010年周杰伦超时代香港演唱会电音版《黑色毛衣》基操勿6皆坐 周杰伦音乐... ?,,,,,,,,
,,#李圣杰#惊现#周杰伦#演唱会，一首《安静》惊呆周杰伦！果然有才华的人都是惺惺相惜的！超级好听@歌手李圣杰 超静Icy的... ?,,iPhone 6s,,,,,,
,,迷妹为看周杰伦演唱会门票掉入连环套，被骗18000。ps:告诫所有杰迷买票务必通过正规渠道，不要让骗子有机会行骗。 1fYouLoveM... ?,,前置双摄vivo X9,,,,,,
,,知道为啥 总是 抢不到周杰伦演唱会门票吗(真相 在这里。。。#哔哩哔哩动画# 网页链接 ?,,哔哩哔哩,,,,,,
,,发布了头条文章：《周杰伦成都演唱会惨变土味野迪现场 承办方被约谈》 |周杰伦成都... ?,,微博 weibo.com,,,,,,
,,发布了头条文章：《7个昆凌中，只有一个是假的，据说周杰伦都不一定找的出！》 |7个昆凌中... ?,,微博 weibo.com,,,,,,
,,#周杰伦长沙演唱会#求5月12日门票一张，谢谢 ?,,iPhone客户端,,,,,,
,,#周杰伦地表最强成都站# 歌迷点歌《白色风车》现场版超好听我陪你走到最后，能不能不要回头你紧紧的抱住我，说你不需要承诺我不懂你说什么，反正不会松手#周杰伦2018演唱会# 周杰伦歌迷... ???,,iPhone 8 Plus,,,,,,
,,渣渣辉的普通话有多普通 ？周杰伦确认过眼神之后说:“你讲广东话可以了” 渣渣辉：那十秒我仿佛度过了一个世纪#秒拍# 娱乐圈扒姑... ?,,微博 weibo.com,,,,,,
,,老是感觉在周杰伦的电影不能说的秘密里就听过当然了我也知道这支本来就是很经典很好听的曲子只是我真的会不自觉听着这首曲子想起不能说的秘密里周杰伦与黄秋生跳探戈的那场戏黄秋生一脸享受的表情那真的是跟这首曲儿还挺搭 ?,,荣耀V10 我AI的快,,,,,,
,,我免费围观了 @褚明宇 的回答，问题价值 1698.00 元，快来一起免费围观~ 微博问答 ?,,,,,,,,
,,"借用一下虹猫蓝兔这篇文章我们这一代长大的人，曾经喜欢过的东西，都被一次又一次地诋毁过。比如我们喜欢的小龙女是刘亦菲，但有人偏偏一定要你承认李若彤更美。比如我们喜欢的歌星是周杰伦，但偏偏有人一定要你承认四大天王更好听。
			...展开全文c",,HUAWEI P10,,,,,,
,,"五月天《I Will Carry You》MV正式上线，阿信创作词曲，MV是曾与林俊杰、周杰伦合作的台湾创意工作室LUCKYSPARKS制作，这一次，五月天依然用充满年轻气息的词曲与激烈的摇滚曲风来颂扬团队的力量，急速而剧烈的鼓如同如火如荼的战斗节奏，阿信在录音棚中又挑战男声高Key唱着“这修罗场，并没有真相，只 ?
			...展开全文c",,微博weibo.com,,,,,,
,,#不爱我就拉倒# 哈喽大家好，我是周杰伦！喜欢篮球的朋友们，喜欢三对三斗牛的朋友们，接下来要注意哦，我会和我的哥们NBA篮网队的林书豪一起加入《这就是灌篮》。又多一个节目可以看了，期待吗#周杰伦演唱会# 周杰伦歌迷... ???,,iPhone 8 Plus,,,,,,
,,周杰伦《你听得到》网页链接 @QQ音乐最近疯狂听你的歌 网页链接 ?,,QQ音乐,,,,,,
,,#偶遇周杰伦昆凌# 你们看看Apple music的排行等你下课发行快四个月了依然在第一告白气球怕是金刚球又回到第四了大家真的真的很饥渴啊#周杰伦不爱我就拉倒# 马上出生啦 ?,,杰伦用过的iPhone 6s Plus,,,,,,
,,"声临其境赵立新用八种语言配音，实力演绎他也是第一个考入瑞典国家大剧院的中国演员看看他配音的功夫熊猫片段！————————————————————————————————————————————————————————————
			...展开全文c",,360安全浏览器,,,,,,
,,不相信周杰伦是爸爸　女儿暴怒气哭骂妈妈被可爱的女儿萌到！（Cr：严亦舒） 正在更新的... ?,,微博 weibo.com,,,,,,
,,周杰伦演唱会上，兄Die这就是你人生的巅峰 ！！！#搞笑视频# 我的损友嘴... ?,,秒拍网页版,,,,,,
,,蔡依林走向周杰伦的那短短十秒钟，感觉用了我的整个青春 娱乐半仙的... ?,,微博 weibo.com,,,,,,
,,一首周杰伦经典歌曲《晴天》，那个时候周杰伦好腼腆好青涩，前奏一响，仿佛回到了那个读书年代，满满的回忆。 好运逗比的... ?,,秒拍网页版,,,,,,
,,周杰伦袁咏琳杨瑞代《阳光宅男》现场版，有着轻快曲风下的一种男生情怀~好听哦！#周杰伦# 首席音乐官... ?,,微博网页,,,,,,
,,@周杰伦的鞠躬小乔巴 。， 一。。 拉屎 一 一样 把 ????з?? ??????和自己恋爱 二1一下拉三三拉 三：点：： 拉我 三一个二维码一下三一 一样1一 网页链接 ?,,vivo智能手机,,,,,,
,,"【燃！燃！！燃！！！电音版的大圣战歌！】致敬华夏第一战神！永远的齐天大圣---孙！悟！空！ ————————————————————————————————————————————————————————————
			...展开全文c",,360安全浏览器,,,,,,
,,周杰伦这首《霍元甲》和李连杰简直绝配 1fYouLoveM... ?,,前置双摄vivo X9,,,,,,
,,一大波路透照来袭！昆凌录跑男，周杰伦场外全程陪护。近日，《奔跑吧》最新一季节目在维也纳录制，#昆凌#以嘉宾形式参与录制，穿粉外套超减龄。网友也意外偶遇#周杰伦#，周董全程陪伴老婆录节目，超暖心期待节目的播出！ ?,,微博 weibo.com,,,,,,
,,沈月 稻香 #沈月# 在五四晚会上，演唱#周杰伦# 的《#稻香#》可谓是人美歌甜的小姐姐呀[ 张慧君是个... ?,,接广告的vivo,,,,,,
,,你们所不知道的周杰伦，私底下做了这么多公益好事。 1fYouLoveM... ?,,前置双摄vivo X9,,,,,,
,,"喜欢李荣浩 周杰伦 喜欢王子异 小鬼 蔡徐坤 陈立农喜欢朴宝剑 朴海镇喜欢金泫雅喜欢张子枫喜欢山田直美喜欢橄榄妹
			...展开全文c",,Android,,,,,,
,,【沈月携厦门六中的水杯伴奏表演《稻香》】#沈月#在五四晚会上用女性的柔美表演周杰伦的《稻香》，更是引入了非常火的厦门六中学生独创的拍水杯，桌子伴奏表演稻香，独树一帜，让人耳目一新，沈月人美歌甜，难怪你要红，鉴定完毕 娱乐综艺达... ?,,微话题,,,,,,
,,我免费围观了 @褚明宇 的回答，问题价值 1698.00 元，快来一起免费围观~ 微博问答 ?,,,,,,,,
,,高能少年团：哈哈哈，王俊凯炫耀与周杰伦合影，这小表情开心的~#综艺大咖秀# 思密达的团... ?,,微博网页,,,,,,
,,我正在爱奇艺看霸道帝少惹不得，快来 @爱奇艺 一起看！网页链接 @周杰伦是我邵爺 ?,,OPPO R9s,,,,,,
,,于文文翻唱周杰伦的《稻香》， 段子手薛突然发现于文文有三个喉结，老薛你这是搞事情呀#明星那点事# 小曹蜀黍的... ?,,,,,,,,
,,时隔16年，周杰伦的《开不了口》重新编曲，催泪大片感动来袭，你总说我不在意，其实我都放心里！ 墙角社的秒... ?,,秒拍网页版,,,,,,
,,日前，在#周杰伦# 香港演唱会的点歌环节，一位幸运被选中的男歌迷现场直接“表白”周杰伦：“我想说我没有办法嫁给你，那我就 ……”。居然还有这种操作？是真爱没跑了！ #秒拍# 娱乐日爆社... ?,,微博 weibo.com,,,,,,
,,"黄渤这段戏把人看哭，为了女人豁出命，够爷们!————————————————————————————————————————————————————————————
			...展开全文c",,360安全浏览器,,,,,,
,,"汪星人：我主人可能是个智障 ————————————————————————————————————————————————————————————
			...展开全文c",,360安全浏览器,,,,,,
,,#不爱我就拉倒# 喜欢篮球的朋友们，喜欢三对三斗牛的朋友们，接下来要注意哦，我会和我的哥们NBA篮网队的林书豪一起加入《这就是灌篮》，期待吗#2018周杰伦长沙演唱会# 周杰伦歌迷... ?,,iPhone 8 Plus,,,,,,
,,温柔杀！闫妮跟女儿亲密演绎《听妈妈的话》，光看个预告就被看哭了，周杰伦的歌被翻唱后又是一番滋味，深情、好听。观影建议：带上妈妈，带上纸巾 电影派Mr的... ?,,微博 weibo.com,,,,,,
,,我用 @VUEvideo 拍摄了一部短片 @周杰伦歌迷网官方微博 @地表最强周杰伦世界巡回演唱会 Liner--琳... ?,,VUEVideo,,,,,,
,,你用钢琴 我用葫芦丝也能吹出这个旋律呐呐 安静 么么哒 @周杰伦资讯网官方微博 @周杰伦歌迷网官方微博 @周杰伦微博资讯 @周杰伦中文网JayCn JeeMartin-... ?,,iPhone客户端,,,,,,
,,周杰伦怎么了？为什么昆凌会来参加奔跑吧兄弟？(同步自@新浪看点)|周杰伦怎么... ?,,手机新浪网,,,,,,
,,周杰伦演唱会现场演唱《晴天》，唱哭你的不是声音不是歌词、不是舞台、不是音响、不是人潮涌动，是那些回不去的年少时光。音乐台风天... ?,,微博 weibo.com,,,,,,
,,发布了头条文章：《成都文广新局:周杰伦演唱会如违规将依法依规处理》 |成都文广新... ?,,微博 weibo.com,,,,,,
,,周杰伦歌迷点歌《珊瑚海》，爱情可以是鱼和鱼，鸟和鸟，但是那都是普通的爱情，轰轰烈烈也可以是爱情，比如鸟和鱼。鸟和鸟永远就只是鸟了，鸟和鱼就是多一种可能性，这种可能性不应该被抹杀，伟大的爱情大多是异类之间，或不同族类之间 这种一般坚持下来的都是真爱。#周杰伦# 百听不厌音... ?,,微博网页,,,,,,
,,"【鞋友们要是能有这样的团结，鞋市必健康！这次倒卖周杰伦成都演唱会的黄牛们哭了】#周杰伦成都演唱会#门票由于黄牛一直炒作加价，导致成都演唱会门票崩盘，这是历史上第一次周杰伦演唱会门票打折处理，不是因为周杰伦不火了，而是因为歌迷朋友们不愿意买高价黄牛票而导致的。听说成都场黄牛票全烂手里 ?
			...展开全文c",,iPhone X,,,,,,
,,"周董实力宠妻，《跑男》全程陪同？怪不得郑凯这表情！护妻狂魔在娱乐圈已经屡见不鲜，毕竟是娱乐圈是一个大染缸，老公陪老婆录节目这种事真是太常见啦，近期的的跑男周董全程陪护，昆凌真是小公主般的婚姻了，我一个外人看着真是羡慕的不得了~近期的《跑男》中，天王嫂昆凌也有参加，看到昆凌嫂子 ?
			...展开全文c",,iPhone客户端,,,,,,
,,#全民K歌#>>《等你下课(with 杨瑞代)》-L刘以锋>>网页链接 (来自@全民K歌)@周杰伦歌迷网官方微博 @周杰伦中文网JayCn @周杰伦资讯网官方微博 ?,,iPhone客户端,,,,,,
,,"几年前在地方台的小节目里说“我想像周杰伦那样成为全能型歌手”的时候，屏幕前当真的有几个人呢。后来红遍全网，雪花一样的通告伴随着质疑、谩骂，还有抻筋动骨的飞速长大，说要写歌要创作，谁都当这许诺是对外营业的花架子。十五岁生日会那天的眼泪是怎么汹涌而至又倏然滑落，到现在都还清晰记得， ?
			...展开全文c",,OPPO R9s,,,,,,
,,周杰伦成都站的演唱会现场，哈哈哈哈哈哈哈哈哈哈哈怎么肥四 ?,,即刻笔记,,,,,,
,,苏掌柜的旅行日记的视频《2017全球总决赛开场《Legends Never Die》周杰伦/钢琴）存个档 网页链接 (@网易云音乐) ?,,网易云音乐,,,,,,
,,TF家族将军令霍元甲是台湾男歌手吴克羣周杰伦的经典歌曲，不过@TF家族新生-马嘉祺 台湾女歌手蔡依林的特务J也很不错，是另一种风格！都是我这一代的记忆啊！嘉祺赞歌AH...视频来源@嘉祺赞歌AHymnForYou ?,,?しばけんAndroid,,,,,,
,,"【那些年 周杰伦MV里出现过的车】周杰伦的MV里有好多经典车。比如他给外婆写过一首歌，“载着外婆开着拉风的古董车兜兜兜风。”外婆拉风之余，也要听妈妈的话，常回家看看，周杰伦在《稻香》MV中，让男主角开着BMW 2002回乡下老家看望母亲，也是时尚时尚最时尚了。第一时间的... 综上，杰伦可能 ?
			...展开全文c",,微博 weibo.com,,,,,,
,,面具倫來咯~@MRJ台灣官方 @浩克Hulk @周杰倫國際後援會網 @周杰伦辽宁地区歌迷会 |沈阳·沈阳... romeoj_37... ?,,iPhone客户端,,,,,,
